| 18.08.2025 | Bilanz- und Erfolgsanalyse: Vorbereitung der Analyse (Carlen Gianini Riniker) Vermögnsstruktur, Investierung |
| 25.08.2025 | Bilanz- und Erfolgsanalyse: Kapitalstruktur, Finanzierung |
| 28.08.2025 | Bilanz- und Erfolgsanalyse: Liquidität |
| 01.09.2025 | Bilanz- und Erfolgsanalyse: Anlagedeckung |
| 04.09.2025 | Bilanz- und Erfolgsanalyse: Kapitalrenditen |
| 08.09.2025 | Bilanz- und Erfolgsanalyse: Kapitalrenditen |
| 11.09.2025 | Test |
| 15.09.2025 | Bilanz- und Erfolgsanalyse: Umsatzrendite |
| 18.09.2025 | Bilanz- und Erfolgsanalyse: Aktivitätskennzahlen (Carlen Gianini Riniker) |
| 22.09.2025 | Bilanz- und Erfolgsanalyse: Aktivitätskennzahlen (Carlen Gianini Riniker) |
| 25.09.2025 | Bilanz- und Erfolgsanalyse: Analyse der GFR (Carlen Gianini Riniker) |
| 20.10.2025 | Bilanz- und Erfolgsanalyse: Aktivitätskennzahlen (Carlen Gianini Riniker) |
| 23.10.2025 | Test |
| 27.10.2025 | Kostenarten (Fix/Variabel) |
| 30.10.2025 | Deckungsbeitrag |
| 03.11.2025 | Rekonstruktion Tabelle Seite 71 |
| 06.11.2025 | Anwendungsübung Break-Even Berechnung (Make or Buy) |
| 10.11.2025 | Anwendungsübung Break-Even Berechnung (Make or Buy) |
| 13.11.2025 | Test |
